iter	Passed	Remaining
740	1353	472
741	1353	470
742	1355	468
743	1355	466
744	1356	464
745	1357	462
746	1358	460
747	1360	458
748	1361	456
749	1363	454
750	1364	452
751	1366	450
752	1367	448
753	1369	446
754	1371	444
755	1372	443
756	1373	441
757	1377	439
758	1378	437
759	1380	435
760	1382	434
761	1384	432
762	1387	430
763	1388	428
764	1391	427
765	1393	425
766	1395	423
767	1397	422
768	1398	420
769	1401	418
770	1403	416
771	1404	414
772	1406	413
773	1408	411
774	1412	410
775	1415	408
776	1416	406
777	1418	404
778	1420	402
779	1421	401
780	1424	399
781	1425	397
782	1427	395
783	1429	393
784	1431	392
785	1433	390
786	1434	388
787	1436	386
788	1438	384
789	1440	382
790	1441	380
791	1443	379
792	1444	377
793	1446	375
794	1447	373
795	1448	371
796	1451	369
797	1452	367
798	1453	365
799	1454	363
800	1455	361
801	1456	359
802	1457	357
803	1457	355
804	1458	353
805	1459	351
806	1460	349
807	1461	347
808	1462	345
809	1463	343
810	1464	341
811	1465	339
812	1466	337
813	1466	335
814	1467	333
815	1468	331
816	1469	329
817	1470	327
818	1471	325
819	1472	323
820	1473	321
821	1474	319
822	1475	317
823	1476	315
824	1477	313
825	1478	311
826	1479	309
827	1480	307
828	1482	305
829	1483	303
830	1484	301
831	1485	300
832	1487	298
833	1488	296
834	1489	294
835	1490	292
836	1492	290
837	1493	288
838	1494	286
839	1496	284
840	1497	283
841	1498	281
842	1499	279
843	1500	277
844	1501	275
845	1502	273
846	1503	271
847	1504	269
848	1505	267
849	1506	265
850	1507	263
851	1508	261
852	1509	260
853	1510	258
854	1511	256
855	1512	254
856	1513	252
857	1514	250
858	1516	248
859	1518	247
860	1520	245
861	1522	243
862	1523	241
863	1524	239
864	1524	237
865	1525	236
866	1526	234
867	1527	232
868	1529	230
869	1531	228
870	1532	226
871	1534	225
872	1536	223
873	1537	221
874	1539	219
875	1540	218
876	1542	216
877	1544	214
878	1546	212
879	1548	211
880	1550	209
881	1552	207
882	1553	205
883	1556	204
884	1557	202
885	1559	200
886	1561	198
887	1564	197
888	1566	195
889	1568	193
890	1569	192
891	1571	190
892	1572	188
893	1573	186
894	1574	184
895	1576	182
896	1577	181
897	1578	179
898	1579	177
899	1580	175
900	1582	173
901	1583	172
902	1584	170
903	1584	168
904	1585	166
905	1586	164
906	1587	162
907	1588	160
908	1589	159
909	1590	157
910	1591	155
911	1592	153
912	1593	151
913	1594	149
914	1594	148
915	1595	146
916	1596	144
917	1597	142
918	1598	140
919	1599	139
920	1599	137
921	1601	135
922	1602	133
923	1603	131
924	1604	130
925	1605	128
926	1605	126
927	1606	124
928	1607	122
929	1608	121
930	1609	119
931	1610	117
932	1610	115
933	1611	113
934	1612	112
935	1613	110
936	1614	108
937	1615	106
938	1616	105
939	1617	103
940	1618	101
941	1619	99
942	1620	97
943	1621	96
944	1622	94
945	1623	92
946	1623	90
947	1624	89
948	1625	87
949	1626	85
950	1627	83
951	1628	82
952	1629	80
953	1630	78
954	1631	76
955	1632	75
956	1633	73
957	1633	71
958	1634	69
959	1635	68
960	1636	66
961	1637	64
962	1638	62
963	1638	61
964	1639	59
965	1640	57
966	1641	56
967	1642	54
968	1643	52
969	1644	50
970	1645	49
971	1647	47
972	1649	45
973	1652	44
974	1654	42
975	1656	40
976	1658	39
977	1659	37
978	1660	35
979	1662	33
980	1664	32
981	1665	30
982	1667	28
983	1668	27
984	1669	25
985	1671	23
986	1672	22
987	1675	20
988	1677	18
989	1678	16
990	1679	15
991	1680	13
992	1681	11
993	1682	10
994	1682	8
995	1683	6
996	1684	5
997	1685	3
998	1686	1
999	1687	0
